,TIPO,SECTOR,LATITUD,LONGITUD,NOMBRE LOCAL,DIRECCION,CIUDAD,COMUNIDAD AUTONOMA,PROVINCIA,USUARIO DE EMPRESA,EMAIL,TELEFONO,ACUM VERDE,ACUM AMARILLO,ACUM ROJO,VALORACIONES,CERTIFICACION,IMAGEN
47,restaurante,hostelería,41.3796645,2.1743205,Kubik Restaurant,La Rambla 45,Barcelona,Cataluña,Barcelona,,,,,,,,,
48,restaurante,hostelería,41.3812802,2.1728591,Genové 1911,,Barcelona,Cataluña,Barcelona,,,,,,,,,
49,restaurante,hostelería,41.3812444,2.1728937,Bello Italy,,Barcelona,Cataluña,Barcelona,,,,,,,,,
50,restaurante,hostelería,41.3813446,2.1728162,Egipte,,Barcelona,Cataluña,Barcelona,,,,,,,,,
51,restaurante,hostelería,41.383726,2.1709656,cent111onze,La ramblas 111,Barcelona,Cataluña,Barcelona,,,,,,,,,
52,restaurante,hostelería,41.3843881,2.170482,La Poma,Rambla del Estudis 119,Barcelona,Cataluña,Barcelona,,,,,,,,,
53,restaurante,hostelería,41.382919,2.170821,Los Toreros,,Barcelona,Cataluña,Barcelona,,,,,,,,,
54,restaurante,hostelería,41.3832659,2.1701667,Organic,,Barcelona,Cataluña,Barcelona,,,,,,,,,
55,restaurante,hostelería,41.3832611,2.170504,Bar Lobo,Carrer del Pintor Fortuny 3,Barcelona,Cataluña,Barcelona,,,,,,,,,
56,restaurante,hostelería,41.3831077,2.1703808,Sagarra,,Barcelona,Cataluña,Barcelona,,,,,,,,,
57,restaurante,hostelería,41.3753402,2.1894951,Cafeteria Restaurant Buenas Migas *Plaça del Mar,Pl Mar 1,Barcelona,Cataluña,Barcelona,,,,,,,,,
58,restaurante,hostelería,41.3753694,2.1896344,Restaurant Kaiku,Plaça del Mar 1-4,Barcelona,Cataluña,Barcelona,,,,,,,,,
59,restaurante,hostelería,41.4020177,2.1457393,Mei Hua,,Barcelona,Cataluña,Barcelona,,,,,,,,,
60,restaurante,hostelería,41.4034165,2.1477911,Pizzeria Fontana,,Barcelona,Cataluña,Barcelona,,,,,,,,,
61,restaurante,hostelería,41.3815757,2.1734408,Juicy Jones,Carrer del Cardenal Casañas 4,Barcelona,Cataluña,Barcelona,,,,,,,,,
62,restaurante,hostelería,41.3848666,2.170138,Pastafiore,,Barcelona,Cataluña,Barcelona,,,,,,,,,
63,restaurante,hostelería,41.3849119,2.1701056,Cerveseria,,Barcelona,Cataluña,Barcelona,,,,,,,,,
64,restaurante,hostelería,41.3851596,2.1698748,Nuria,,Barcelona,Cataluña,Barcelona,,,,,,,,,
65,restaurante,hostelería,41.385205,2.1705984,Pizza Marzano,,Barcelona,Cataluña,Barcelona,,,,,,,,,
66,restaurante,hostelería,41.3884807,2.1593618,Cinc Sentits,,Barcelona,Cataluña,Barcelona,,,,,,,,,
67,restaurante,hostelería,41.3859551,2.1707466,Hard Rock Cafe,,Barcelona,Cataluña,Barcelona,,,,,,,,,
68,restaurante,hostelería,41.3881068,2.1669465,La Tramoia,Gran Via de les Corts Catalanes 624,Barcelona,Cataluña,Barcelona,,,,,,,,,
69,restaurante,hostelería,41.3879364,2.167454,Happy,,Barcelona,Cataluña,Barcelona,,,,,,,,,
70,restaurante,hostelería,41.387684,2.1683456,Trobadour,Rambla de Catalunya 2-4,Barcelona,Cataluña,Barcelona,,,,,,,,,
71,restaurante,hostelería,41.3916926,2.1660167,Tapa Tapa,,Barcelona,Cataluña,Barcelona,,,,,,,,,
72,restaurante,hostelería,41.390324,2.1676904,Davinas,Passeig de Gràcia 28,Barcelona,Cataluña,Barcelona,,,,,,,,,
73,restaurante,hostelería,41.3901575,2.1678809,Qu Qu,Passeig de Gràcia 24,Barcelona,Cataluña,Barcelona,,,,,,,,,
74,restaurante,hostelería,41.3910227,2.1654449,Tenorio,Carrer del Consell de Cent 349-351,Barcelona,Cataluña,Barcelona,,,,,,,,,
75,restaurante,hostelería,41.3888,2.16689,Ciudad Condal,Rambla de Catalunya 18,Barcelona,Cataluña,Barcelona,,,,,,,,,
76,restaurante,hostelería,41.388992,2.1660252,el Racó,Rambla de Catalunya 25,Barcelona,Cataluña,Barcelona,,,,,,,,,
77,restaurante,hostelería,41.3902964,2.1640976,Taller de Tapas,,Barcelona,Cataluña,Barcelona,,,,,,,,,
78,restaurante,hostelería,41.3976224,2.1807778,Bar Geminis,Sardenya 173,Barcelona,Cataluña,Barcelona,,,,,,,,,
79,restaurante,hostelería,41.3879447,2.2020882,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
80,restaurante,hostelería,41.3804529,2.1749778,Les 15 Nits Bar,Passatge de Madoz 3-5,Barcelona,Cataluña,Barcelona,,,,,,,,,
81,restaurante,hostelería,41.3891731,2.1558513,L'Atzavara,,Barcelona,Cataluña,Barcelona,,,,,,,,,
82,restaurante,hostelería,41.3898043,2.1571237,Cubeliña,Carrer d'Aribau 91,Barcelona,Cataluña,Barcelona,,,,,,,,,
83,restaurante,hostelería,41.3895557,2.1568298,Freeway,Carrer de Mallorca 191,Barcelona,Cataluña,Barcelona,,,,,,,,,
84,restaurante,hostelería,41.3895408,2.1553488,Churreria,,Barcelona,Cataluña,Barcelona,,,,,,,,,
85,restaurante,hostelería,41.3894442,2.1554485,Taifeng,,Barcelona,Cataluña,Barcelona,,,,,,,,,
86,restaurante,hostelería,41.446872,2.0751284,Rancho El Paso,,Barcelona,Cataluña,Barcelona,,,,,,,,,
87,restaurante,hostelería,41.3803406,2.1747194,La Crema Canela,Passatge de Madoz 6,Barcelona,Cataluña,Barcelona,,,,,,,,,
88,restaurante,hostelería,41.3911199,2.170955,Patagonia Beef & Wine,Gran Via de les Corts Catalanes 660,Barcelona,Cataluña,Barcelona,,,,,,,,,
89,restaurante,hostelería,41.3751707,2.168607,La Farandula,,Barcelona,Cataluña,Barcelona,,,,,,,,,
90,restaurante,hostelería,41.3751774,2.1684833,Bar Cerveceria Pepe 2,,Barcelona,Cataluña,Barcelona,,,,,,,,,
91,restaurante,hostelería,41.3761367,2.1686585,Caleuche,,Barcelona,Cataluña,Barcelona,,,,,,,,,
92,restaurante,hostelería,41.3835738,2.1710948,Luzia,Carrer del Pintor Fortuny 1,Barcelona,Cataluña,Barcelona,,,,,,,,,
93,restaurante,hostelería,41.4154987,2.2296372,La Barca d'Adrià,,Barcelona,Cataluña,Barcelona,,,,,,,,,
94,restaurante,hostelería,41.4445741,2.0667015,Catalan,,Barcelona,Cataluña,Barcelona,,,,,,,,,
95,restaurante,hostelería,41.4448145,2.0615995,La Casa Blava,,Barcelona,Cataluña,Barcelona,,,,,,,,,
96,restaurante,hostelería,41.3904171,2.1136939,Restaurant Vertex,,Barcelona,Cataluña,Barcelona,,,,,,,,,
