;CA;PROVINCIA;LATITUD;LONGITUD;NOMBRE_LOCAL;DIRECCION;CIUDAD;TIPO;SECTOR;CONTACTO_EMPRESA;EMAIL;TELEFONO;FAKE_ACCESS;ACUM_VERDE;ACUM_AMARILLO;ACUM_ROJO;VALORACIONES;CERTIFICACION;IMAGEN;
19847;Andalucía;Sevilla;37.390.422;-59.920.791;Europa;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
19853;Andalucía;Sevilla;373.904.153;-59.912.639;Al Cartuchito;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
17858;Valencia;Valencia;39.485.786;-0.3997385;Bar Les Tendetes;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
17864;Valencia;Valencia;39.469.265;-0.3571791;Zazu Lounge Shisha Bar;Plaça del Periodista Ros Belda, 6, 46021 València, Valencia, Spain 9999;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
15032;País Vasco;Vizcaya;432.403.524;-29.226.366;Ferrobarril;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
15020;País Vasco;Vizcaya;433.492.224;-30.103.377;Eneko;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX;
3;Cataluña;Barcelona;413.899.967;21.318.367;Moncho's House;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
18713;Andalucía;Málaga;367.186.239;-44.107.136;Restaurante Marrakech;Avenida Cánovas del Castillo 12;Málaga;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
5797;Madrid;Madrid;40.428.732;-37.020.018;Café Comercial;Glorieta de Bilbao 7;Madrid;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
19123;Andalucía;Sevilla;37.387.228;-59.217.397;Cafetería Rui;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
16826;Valencia;Valencia;39.470.892;-0.3830845;Aladino;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
14382;País Vasco;Vizcaya;433.268.089;-30.125.475;Casa Mao;;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5;
4;Cataluña;Barcelona;413.836.716;21.806.392;Taller de Tapas;l'Argenteria 51;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
135;Cataluña;Barcelona;413.819.896;21.696.228;Dos Trece;Carrer del Carme 40;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
18512;Andalucía;Málaga;366.658.659;-44.646.231;Frascati;Calle Rogelio Oliva 29;Málaga;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
5798;Madrid;Madrid;404.245.836;-3.709.622;Rey de Tallarines;Plaza del Conde de Toreno 2;Madrid;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
19124;Andalucía;Sevilla;373.875.844;-59.199.692;NO NAME;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
16827;Valencia;Valencia;39.477.108;-0.3632784;Foster's Hollywood;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
14359;País Vasco;Vizcaya;432.613.197;-29.254.049;Gandhi;Calle Amistad / Adiskidetasun kalea 6;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN5ykYrD9ZfkKDSCVJLq0imRFGxe_9ORTd8Nmj_;
3151;Cataluña;Barcelona;413.770.927;21.369.201;Disco Bar Joe's;;Barcelona;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
18873;Andalucía;Málaga;367.237.601;-4.417.256;Celtic Druids;Plaza de la Merced 18;Málaga;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
10328;Madrid;Madrid;404.129.838;-36.956.873;La Esquina;;Madrid;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
19854;Andalucía;Sevilla;373.906.251;-59.912.105;NO NAME;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
17865;Valencia;Valencia;395.478.502;-0.3898232;NO NAME;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
15021;País Vasco;Vizcaya;433.493.104;-30.102.731;Manhattan;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNBDbrtwgIupthI0NWbnjbZadE1cWGTbOvY6FsP;
5779;Cataluña;Barcelona;413.888.477;21.735.904;Teatre Borràs;Plaça d'Urquinaona 9;Barcelona;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN-HRa64amn7bhn9SRWxn5pTwUWHAY-HaTss2DU;
19121;Andalucía;Málaga;367.208.425;-44.247.052;Centro de Arte Flamenco Kelipé;Calle Muro de Puerta Nueva 10;Málaga;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN-HRa64amn7bhn9SRWxn5pTwUWHAY-HaTss2DU;
14259;Madrid;Madrid;404.232.134;-37.045.532;Teatro Alfil;Calle del Pez 10;Madrid;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN-HRa64amn7bhn9SRWxn5pTwUWHAY-HaTss2DU;
20979;Andalucía;Sevilla;373.833.163;-60.006.083;Teatro Flamenco Triana;;Sevilla;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN-HRa64amn7bhn9SRWxn5pTwUWHAY-HaTss2DU;
18494;Valencia;Valencia;394.654.995;-0.456681;Teatre i Auditori Municipal d'Aldaia;;Valencia;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN-HRa64amn7bhn9SRWxn5pTwUWHAY-HaTss2DU;
3145;Cataluña;Barcelona;414.304.051;21.744.018;Chiribito;Passeig Fabra i Puig 266;Barcelona;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
18905;Andalucía;Málaga;367.189.592;-44.094.873;Gin Tonic;;Málaga;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
10322;Madrid;Madrid;404.874.732;-3.699.712;Cadillac Solitario;;Madrid;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
19848;Andalucía;Sevilla;373.952.626;-59.913.525;Bar San Juan de la Palma;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
17859;Valencia;Valencia;394.812.335;-0.3955433;NO NAME;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
15038;País Vasco;Vizcaya;432.623.182;-2.928.817;Antomar;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
4119;Cataluña;Barcelona;414.523.112;22.083.833;El 9 Carrer;Carrer de Josep Anselm Clave 1;Barcelona;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
18962;Andalucía;Málaga;366.823.616;-44.533.215;La Taskita del Tobita;Avenida Imperio Argentina 17;Málaga;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
12130;Madrid;Madrid;404.270.264;-37.016.864;Sidrería la Camocha;Calle de Fuencarral 95;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
20533;Andalucía;Sevilla;373.928.789;-60.019.619;Gloria Bendita;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
18066;Valencia;Valencia;394.758.544;-0.3829965;Social Club;;Valencia;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
16125;País Vasco;Vizcaya;433.291.994;-30.075.841;Gobela;;Bilbao;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe;
5746;Cataluña;Barcelona;413.759.426;21.678.212;Teatre Tantarantana;Carrer de les Flors 22;Barcelona;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNXqAAL8-zTsfPDKrqPCmXTNz0ZXMmBSfb2RXKG;
19117;Andalucía;Málaga;367.163.866;-44.235.166;Teatro Flamenco El Soho;Calle Vendeja 30;Málaga;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNXqAAL8-zTsfPDKrqPCmXTNz0ZXMmBSfb2RXKG;
14260;Madrid;Madrid;404.195.185;-37.026.612;Teatro Príncipe Gran Vía;Calle de las Tres Cruces 8;Madrid;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNXqAAL8-zTsfPDKrqPCmXTNz0ZXMmBSfb2RXKG;
20961;Andalucía;Sevilla;373.936.363;-59.956.702;La Imperdible;;Sevilla;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNXqAAL8-zTsfPDKrqPCmXTNz0ZXMmBSfb2RXKG;
18495;Valencia;Valencia;394.708.613;-0.3780014;Olympia;Carrer de Sant Vicent Màrtir 44;Valencia;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNXqAAL8-zTsfPDKrqPCmXTNz0ZXMmBSfb2RXKG;
5747;Cataluña;Barcelona;414.377.005;22.229.207;Blas Infante;carrer d'Andrés Segovia 43-45;Barcelona;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
19119;Andalucía;Málaga;367.272.149;-4.414.536;Urte Teatro;;Málaga;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
14261;Madrid;Madrid;404.600.348;-34.743.852;Teatro Municipal José María Rodero;;Madrid;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
20962;Andalucía;Sevilla;37.393.965;-59.877.855;Sala Cero;Calle Sol 5;Sevilla;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
18496;Valencia;Valencia;394.845.064;-0.4438066;Auditori Molí de Vila;;Valencia;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
16820;País Vasco;Vizcaya;432.673.338;-29.604.465;Pabellón 6;;Bilbao;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL;
3148;Cataluña;Barcelona;413.770.535;21.338.807;Sar;;Barcelona;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
18870;Andalucía;Málaga;367.222.969;-44.171.951;Tiffany's;Calle Alcazabilla 11;Málaga;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
10325;Madrid;Madrid;404.116.383;-36.979.403;NO NAME;;Madrid;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
19851;Andalucía;Sevilla;373.883.027;-60.074.539;las Angarillas;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
17862;Valencia;Valencia;394.848.382;-0.3999168;Montaditos Karina;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
15018;País Vasco;Vizcaya;433.525.422;-30.058.628;Iturgitxi;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
4122;Cataluña;Barcelona;413.772.743;21.371.527;Pub Gris;;Barcelona;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
18932;Andalucía;Málaga;367.117.997;-44.421.918;Café Bar La Giralda;Avenida José Ortega y Gasset 5-7;Málaga;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
12133;Madrid;Madrid;404.260.312;-36.981.336;Olé Lola;Calle de San Mateo 28;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
20536;Andalucía;Sevilla;373.931.592;-60.008.792;Bar El Sendero;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
18069;Valencia;Valencia;394.431.391;-0.3883678;NO NAME;;Valencia;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
16128;País Vasco;Vizcaya;432.630.054;-29.311.344;Basque;;Bilbao;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS;
5;Cataluña;Barcelona;413.942.273;2.109.899;El Jardí de l'Abadessa;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
116;Cataluña;Barcelona;414.074.238;21.585.521;Casa Vall;Plaça de Rovira i Trias 2;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
18513;Andalucía;Málaga;367.241.869;-44.211.525;El Apartamento;Calle Carretería 92;Málaga;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
5799;Madrid;Madrid;404.257.624;-37.120.848;La Parrilla de Nino;Plaza de Cristino Martos 2;Madrid;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
19125;Andalucía;Sevilla;373.886.379;-59.210.132;NO NAME;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
16828;Valencia;Valencia;394.519.266;-0.3739882;Casa Manolo;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
14343;País Vasco;Vizcaya;432.736.308;-29.179.059;Restaurante Txakoli;BI-3741 Carretera de Artxanda / Artxandako errepidea 19;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO5ATL94yIIREu5_64b5o_qp8_nThXh59Rf_QsB;
4512;Cataluña;Barcelona;414.305.166;21.725.195;The New Orleans Coffee & Tea Company;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
4513;Cataluña;Barcelona;413.962.323;21.890.864;Bar Almogávares;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
18995;Andalucía;Málaga;367.190.077;-44.249.194;Café con Arte;Plaza de Arriola 1;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
18998;Andalucía;Málaga;367.219.468;-44.207.047;Café Madrid;;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
12972;Madrid;Madrid;404.463.777;-37.149.013;Condemar;;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
12973;Madrid;Madrid;404.168.084;-36.973.366;NO NAME;;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
20670;Andalucía;Sevilla;373.882.256;-5.972.532;Cafe Bar San Pablo;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
20671;Andalucía;Sevilla;373.824.759;-59.929.673;Starbucks;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
18193;Valencia;Valencia;394.710.084;-0.3816271;Rivendel;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
18194;Valencia;Valencia;394.709.045;-0.381409;Poquito a poco;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
16275;País Vasco;Vizcaya;432.582.221;-29.384.709;Olimpia;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
16276;País Vasco;Vizcaya;432.765.073;-29.587.538;Eureka;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe;
