;CA;PROVINCIA;LATITUD;LONGITUD;NOMBRE_LOCAL;DIRECCION;CIUDAD;TIPO;SECTOR;CONTACTO_EMPRESA;EMAIL;TELEFONO;FAKE_ACCESS;ACUM_VERDE;ACUM_AMARILLO;ACUM_ROJO;VALORACIONES;CERTIFICACION;IMAGEN
15038;País Vasco;Vizcaya;43,2623182;-2,8467671;Antomar;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe
12350;Madrid;Madrid;40,5034531;-3,8882587;Aperitoche;;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPdz_eJs5loCwngtofgnCzZpFCI08RR-fjfDYgc
18871;Andalucía;Málaga;36,7230295;-4,4181857;Arte & Sana;;Málaga;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO9-zj1NVloHgXuHzLQF1kIFa0QEG7fhbpWmxnm
14365;País Vasco;Vizcaya;43,2627846;-2,9309044;Asia chic;Calle Ledesma / Ledesma kalea 30;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh
0;Cataluña;Barcelona;41,3816867;2,0766452;Ateneu de Sant Just Desvern;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOvgregYOMPN4vjhaBLfS9d1V7F_kxwLXaNDWR_
5793;Cataluña;Barcelona;41,3704842;2,1232532;Auditori la Torrassa;Carrer de Santiago ApÃ²stol 40;Barcelona;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK
18496;Valencia;Valencia;39,4845064;-0,3491795;Auditori MolÃ­ de Vila;;Valencia;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNyquz-l9H8lH00XjWVxuE0dxo61NKlkpbHAaHL
19116;Andalucía;Málaga;36,691301;-4,4870626;Autocines Málaga;Carretera Azucarera-Intelhorce 9999;Málaga;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMYgeDJ9iq1SgPABdqsniXB1k9KCftRZELwnR-S
15019;País Vasco;Vizcaya;43,352388;-3,0057446;Azkorri;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO9-zj1NVloHgXuHzLQF1kIFa0QEG7fhbpWmxnm
16822;País Vasco;Vizcaya;43,2570118;-2,9282729;Badulake;Calle Hernani / Hernani kalea 10;Bilbao;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOCDwik2OrZIp6hBUWbrPTbk_7XKbVu1I0sQpm9
13018;Madrid;Madrid;40,4254;-3,7072729;Bake Bar;Calle de San Bernardo 58;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh
16279;País Vasco;Vizcaya;43,2773654;-2,9592544;Banderas;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOrIEBAA6MLvH3BpAtLopIzua3MyotXRQJ95ILe
4513;Cataluña;Barcelona;41,3962323;2,1890864;Bar AlmogÃ¡vares;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO8LaNjUDMFBFhCfiUnyYpPxu6tRJPIq_ffVpWe
18200;Valencia;Valencia;39,4751587;-0,4626716;Bar Azahar;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q
10323;Madrid;Madrid;40,4130638;-3,7129344;Bar Barocco;;Madrid;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPdz_eJs5loCwngtofgnCzZpFCI08RR-fjfDYgc
3154;Cataluña;Barcelona;41,402675;2,1989594;Bar Burgales;Ramble de Poblenou 99;Barcelona;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPz1PsYp0NdYqLDbMJeR5mG4WTn7qPFQ07D0Pks
12167;Madrid;Madrid;40,4039506;-3,7014278;Bar Díaz;;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOP25Sc0uDl2XxZP2wSOKroCgotPBGRX1h2-y81
20536;Andalucía;Sevilla;37,3931592;-6,0008792;Bar El Sendero;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO1cdo7wTpMt09pC9D0cWo26sGcMdP_1bRK1tsS
17863;Valencia;Valencia;39,458865;-0,4626716;Bar Ideal;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipO9-zj1NVloHgXuHzLQF1kIFa0QEG7fhbpWmxnm
18202;Valencia;Valencia;39,4743828;-0,3571791;Bar JesÃºs;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOrIEBAA6MLvH3BpAtLopIzua3MyotXRQJ95ILe
17858;Valencia;Valencia;39,485786;-0,3997385;Bar Les Tendetes;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX
17857;Valencia;Valencia;39,4853697;-0,3818602;Bar Molino II;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPybbQRlSCVfNORaEkO3iiC6CW7NvUbuMslwiWk
4121;Cataluña;Barcelona;41,3932336;2,1884994;Bar Nuria;;Barcelona;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMYHv09IK73Xz513_hKb9XeQDYq7d8j1jpZdnJc
18874;Andalucía;Málaga;36,7236242;-4,4170343;Bar Picasso;Plaza de la Merced 19;Málaga;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPdz_eJs5loCwngtofgnCzZpFCI08RR-fjfDYgc
17861;Valencia;Valencia;39,4851744;-0,3830845;Bar Restaurante IvÃ¡n;;Valencia;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPz1PsYp0NdYqLDbMJeR5mG4WTn7qPFQ07D0Pks
20534;Andalucía;Sevilla;37,3932044;-6,0020184;Bar restaurante la Gallega;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq
18940;Andalucía;Málaga;36,7311305;-4,4492485;Bar Ricardo;;Málaga;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOP25Sc0uDl2XxZP2wSOKroCgotPBGRX1h2-y81
19848;Andalucía;Sevilla;37,3952626;-5,9913525;Bar San Juan de la Palma;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipNoIUonEsnPcabR0PWoMekOU0GrU-4Ji6aN2qpe
19131;Andalucía;Sevilla;37,3968705;-5,9967756;Bar San Lorenzo;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipP8X5wmzk1FRtU21uf84ZtcWTwbHf_UT7s_NyZX
16833;Valencia;Valencia;39,4483496;-0,3824244;Bar San LuÃ­s;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipP_F2h7FuG1NuosUhmd2dIpZeWUGx89JiltAYhu
4521;Cataluña;Barcelona;41,3720275;2,1671353;Bar Seco;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOrIEBAA6MLvH3BpAtLopIzua3MyotXRQJ95ILe
